Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Information Filter,135,2,3,True,0.043543767929077146,5.0643675327301025,-1.0661409586012954e+52
Sqrt Filter,135,2,3,True,0.021933555603027344,0.43503546714782715,-1007.8658126862681
Sqrt Inf Filter,135,2,3,True,0.030123019218444826,6.030737400054932,-4.007000041970395e+50
Kalman Filter,136,2,3,True,0.02531125545501709,0.4724702835083008,-1014.5586886409403
Information Filter,136,2,3,True,0.04499731063842773,5.436327934265137,-1.4576741510830514e+53
Sqrt Filter,136,2,3,True,0.02168140411376953,0.4213066101074219,-1014.5586886409404
Sqrt Inf Filter,136,2,3,True,0.02924330234527588,6.63141655921936,-8.940102038322616e+50
Kalman Filter,137,2,3,True,0.025752544403076172,0.4160730838775635,-1021.2515645956126
Information Filter,137,2,3,True,0.04470198154449463,5.2437450885772705,-1.8378990579354931e+53
Sqrt Filter,137,2,3,True,0.021763992309570313,0.4475851058959961,-1021.2515645956128
Sqrt Inf Filter,137,2,3,True,0.02947394847869873,5.866771459579468,-2.5210388313435834e+51
Kalman Filter,138,2,3,True,0.025620412826538087,0.4148578643798828,-1027.944440550285
Information Filter,138,2,3,True,0.04583859443664551,4.996380567550659,-2.762883660344008e+54
Sqrt Filter,138,2,3,True,0.021863389015197753,0.4177579879760742,-1027.9444405502852
Sqrt Inf Filter,138,2,3,True,0.029500031471252443,5.850939989089966,-1.1518636583233713e+52
Kalman Filter,139,2,3,True,0.02665848731994629,0.5126502513885498,-1034.6373165049574
Information Filter,139,2,3,True,0.045456957817077634,5.18072772026062,-3.724378541970067e+54
Sqrt Filter,139,2,3,True,0.021989870071411132,0.4447920322418213,-1034.6373165049577
Sqrt Inf Filter,139,2,3,True,0.029699063301086424,5.55766487121582,-5.617183347236149e+52
Kalman Filter,140,2,3,True,0.02597372531890869,0.43262434005737305,-1041.3301924596299
Information Filter,140,2,3,True,0.04434952735900879,5.596098899841309,-4.5273135950510175e+55
Sqrt Filter,140,2,3,True,0.022138810157775878,0.4321248531341553,-1041.33019245963
Sqrt Inf Filter,140,2,3,True,0.030893230438232423,5.709545373916626,-4.8802110986431354e+53
Kalman Filter,141,2,3,True,0.026788091659545897,0.42293286323547363,-1048.0230684143023
Information Filter,141,2,3,True,0.04496488571166992,5.143758535385132,-5.862381954496711e+55
Sqrt Filter,141,2,3,True,0.022384119033813477,0.44708681106567383,-1048.0230684143025
Sqrt Inf Filter,141,2,3,True,0.03122527599334717,5.567692518234253,-3.1085131625582926e+54
Kalman Filter,142,2,3,True,0.026383471488952637,0.4336669445037842,-1054.7159443689748
Information Filter,142,2,3,True,0.045197677612304685,5.2922303676605225,-8.72258243186452e+56
Sqrt Filter,142,2,3,True,0.022867918014526367,0.486560583114624,-1054.715944368975
Sqrt Inf Filter,142,2,3,True,0.031765317916870116,6.247127056121826,-6.18294914886215e+54
Kalman Filter,143,2,3,True,0.026608967781066896,0.49952220916748047,-1061.4088203236472
Information Filter,143,2,3,True,0.046660542488098145,5.736684799194336,-1.0481417099861821e+57
Sqrt Filter,143,2,3,True,0.02284853458404541,0.4802365303039551,-1061.4088203236474
Sqrt Inf Filter,143,2,3,True,0.03130784034729004,5.630682706832886,-9.884356600434348e+54
Kalman Filter,144,2,3,True,0.026765060424804688,0.5033547878265381,-1068.1016962783197
Information Filter,144,2,3,True,0.047075200080871585,5.183230400085449,-1.358193537168803e+58
Sqrt Filter,144,2,3,True,0.023103618621826173,0.5047640800476074,-1068.1016962783199
Sqrt Inf Filter,144,2,3,True,0.031812000274658206,6.4677088260650635,-2.391152675604055e+56
Kalman Filter,145,2,3,True,0.027674770355224608,0.5101327896118164,-1074.794572232992
Information Filter,145,2,3,True,0.04873113632202149,5.311448335647583,-1.7190513875920425e+58
Sqrt Filter,145,2,3,True,0.023630094528198243,0.44095706939697266,-1074.7945722329923
Sqrt Inf Filter,145,2,3,True,0.030962181091308594,6.3034467697143555,-4.436050905326551e+56
Kalman Filter,146,2,3,True,0.027041316032409668,0.4282195568084717,-1081.4874481876645
Information Filter,146,2,3,True,0.048132920265197755,5.552080154418945,-2.4564622226161894e+59
Sqrt Filter,146,2,3,True,0.023467659950256348,0.4255943298339844,-1081.4874481876648
Sqrt Inf Filter,146,2,3,True,0.03202850818634033,5.266210079193115,-7.31284041859361e+56
Kalman Filter,147,2,3,True,0.02729043960571289,0.45056962966918945,-1088.180324142337
