K,prop_scale,j,acceptance_rate,par_time,seq_time,success,iterations
100,0.10408816326530612,3,0.0989,4.369389295578003,10.872546672821045,True,3172
100,0.10408816326530612,4,0.0846,4.459059238433838,10.885401248931885,True,3146
100,0.10408816326530612,5,0.0883,4.499621152877808,10.926761627197266,True,3268
100,0.10408816326530612,6,0.0889,4.40730094909668,10.936710357666016,True,3211
100,0.10408816326530612,7,0.094399996,4.465163469314575,10.91932725906372,True,3262
100,0.10408816326530612,8,0.0879,4.43172812461853,10.879047155380249,True,3228
100,0.10408816326530612,9,0.0889,4.4234778881073,10.816474437713623,True,3216
100,0.1102104081632653,0,0.088599995,4.330445289611816,10.872969627380371,True,3155
100,0.1102104081632653,1,0.0828,4.291783094406128,10.869461059570312,True,3111
100,0.1102104081632653,2,0.084199995,4.4214537143707275,10.813750267028809,True,3234
100,0.1102104081632653,3,0.0889,4.341399669647217,10.876218795776367,True,3153
100,0.1102104081632653,4,0.0836,4.340829372406006,10.878741264343262,True,3166
100,0.1102104081632653,5,0.082899995,4.440703630447388,10.846828699111938,True,3236
100,0.1102104081632653,6,0.0836,4.3402910232543945,10.844651937484741,True,3160
100,0.1102104081632653,7,0.0846,4.385854721069336,10.82320237159729,True,3239
100,0.1102104081632653,8,0.0862,4.389394760131836,10.834312438964844,True,3233
100,0.1102104081632653,9,0.081,4.387654781341553,10.852452993392944,True,3205
100,0.11633265306122448,0,0.0819,4.286477088928223,10.85390019416809,True,3148
100,0.11633265306122448,1,0.0736,4.271235942840576,10.892413854598999,True,3100
100,0.11633265306122448,2,0.0792,4.455217361450195,10.925570964813232,True,3226
100,0.11633265306122448,3,0.0752,4.4109227657318115,10.947500944137573,True,3172
100,0.11633265306122448,4,0.0735,4.417161703109741,10.942139863967896,True,3172
100,0.11633265306122448,5,0.078499995,4.477093935012817,10.882037878036499,True,3237
100,0.11633265306122448,6,0.0753,4.369464159011841,10.847222805023193,True,3181
100,0.11633265306122448,7,0.076299995,4.414230823516846,10.813962936401367,True,3227
100,0.11633265306122448,8,0.0779,4.351651668548584,10.821709632873535,True,3230
100,0.11633265306122448,9,0.0764,4.257354021072388,10.82306981086731,True,3149
100,0.12245489795918367,0,0.072799996,4.204351902008057,10.821589946746826,True,3116
100,0.12245489795918367,1,0.072799996,4.27353835105896,10.853523254394531,True,3100
100,0.12245489795918367,2,0.079399996,4.3905558586120605,10.86684274673462,True,3248
100,0.12245489795918367,3,0.080699995,4.333871126174927,10.832920551300049,True,3159
100,0.12245489795918367,4,0.07,4.338200807571411,10.839931011199951,True,3157
100,0.12245489795918367,5,0.0777,4.323217868804932,10.829135656356812,True,3189
